W,L,Seed,Goodput_Mbps,Retransmissions,Duration_Sec,BadStateFraction
64,512,1,0.891799,235696,940.64,0.0366955
64,512,6,0.888041,236708,944.62,0.0366713
64,512,5,0.889001,236229,943.6,0.0366966
64,512,4,0.890181,236147,942.35,0.0366695
64,512,3,0.894831,234748,937.453,0.0366308
64,512,0,0.889077,236542,943.52,0.0367339
64,512,2,0.888314,236506,944.33,0.0366752
64,512,8,0.89271,235163,939.68,0.0366796
64,512,9,0.884899,237808,947.974,0.0367103
64,512,7,0.888451,236815,944.184,0.0366792
