W,L,Seed,Goodput_Mbps,Retransmissions,Duration_Sec,BadStateFraction
64,512,6,2.08745,236623,401.86,0.036673
64,512,2,2.08815,236571,401.724,0.0366748
64,512,3,2.08745,236602,401.86,0.0366463
64,512,5,2.09192,235706,401,0.0366987
64,512,1,2.08838,236300,401.68,0.0367016
64,512,4,2.08232,237706,402.85,0.0366752
64,512,0,2.08149,237916,403.01,0.0367375
64,512,9,2.08434,237207,402.46,0.0367028
64,512,8,2.08776,236592,401.8,0.0366678
64,512,7,2.08323,237598,402.674,0.036684
